Date,ThisYearTotalTravelers,LastYearTotalTravelers,Restriction
2020-07-16,"706,164","2,716,828",
2020-07-15,"589,285","2,522,563",
2020-07-14,"540,268","2,447,177",
2020-07-13,"697,985","2,615,115",
2020-07-12,"754,545","2,669,717",
2020-07-11,"656,284","2,312,178",
2020-07-10,"711,124","2,716,812",
2020-07-09,"709,653","2,608,209",
2020-07-08,"632,498","2,515,902",
2020-07-07,"641,761","2,506,859",
2020-07-06,"755,555","2,748,718",
2020-07-05,"732,123","2,795,369",
2020-07-04,"466,669","2,345,846",
2020-07-03,"718,988","2,184,253",
2020-07-02,"764,761","2,088,760",
2020-07-01,"626,516","2,547,889",
2020-06-30,"500,054","2,347,767",
2020-06-29,"625,235","2,455,536",
2020-06-28,"633,810","2,632,030",
2020-06-27,"546,310","2,368,846",
2020-06-26,"632,984","2,730,515",
2020-06-25,"623,624","2,711,222",
2020-06-24,"494,826","2,594,661",
2020-06-23,"471,421","2,506,510",
2020-06-22,"607,540","2,716,428",
2020-06-21,"590,456","2,719,643",
2020-06-20,"507,129","2,378,559",
2020-06-19,"587,908","2,772,903",
2020-06-18,"576,514","2,728,786",
2020-06-17,"441,829","2,552,395",
2020-06-16,"417,924","2,466,574",
2020-06-15,"534,528","2,699,580",
2020-06-14,"544,046","2,642,083",
2020-06-13,"437,119","2,318,946",
2020-06-12,"519,304","2,727,860",
2020-06-11,"502,209","2,675,686",
2020-06-10,"386,969","2,509,058",
2020-06-09,"338,382","2,433,189",
2020-06-08,"430,414","2,644,981",
2020-06-07,"441,255","2,669,860",
2020-06-06,"353,016","2,225,952",
2020-06-05,"419,675","2,649,808",
2020-06-04,"391,882","2,623,947",
2020-06-03,"304,436","2,370,152",
2020-06-02,"267,742","2,247,421",
2020-06-01,"353,261","2,499,002",
2020-05-31,"352,947","2,555,578",
2020-05-30,"268,867","2,117,180",
2020-05-29,"327,133","2,570,613",
2020-05-28,"321,776","2,485,770",
2020-05-27,"261,170","2,269,035",
2020-05-26,"264,843","2,453,649",
2020-05-25,"340,769","2,512,237",
2020-05-24,"267,451","2,070,716",
2020-05-23,"253,190","2,124,825",
2020-05-22,"348,673","2,792,670",
2020-05-21,"318,449","2,673,635",
2020-05-20,"230,367","2,472,123",
2020-05-19,"190,477","2,312,727",
2020-05-18,"244,176","2,615,691",
2020-05-17,"253,807","2,620,276",
2020-05-16,"193,340","2,091,116",
2020-05-15,"250,467","2,664,549",
2020-05-14,"234,928","2,611,324",
2020-05-13,"176,667","2,343,675",
2020-05-12,"163,205","2,191,387",
2020-05-11,"215,645","2,512,315",
2020-05-10,"200,815","2,419,114",
2020-05-09,"169,580","1,985,942",
2020-05-08,"215,444","2,602,631",
2020-05-07,"190,863","2,555,342",
2020-05-06,"140,409","2,270,662",
2020-05-05,"130,601","2,106,597",
2020-05-04,"163,692","2,470,969",
2020-05-03,"170,254","2,512,598",
2020-05-02,"134,261","1,968,278",
2020-05-01,"171,563","2,546,029",
2020-04-30,"154,695","2,499,461",
2020-04-29,"119,629","2,256,442",
2020-04-28,"110,913","2,102,068",
2020-04-27,"119,854","2,412,770",
2020-04-26,"128,875","2,506,809",
2020-04-25,"114,459","1,990,464",
2020-04-24,"123,464","2,521,897",
2020-04-23,"111,627","2,526,961",
2020-04-22,"98,968","2,254,209",
2020-04-21,"92,859","2,227,475",
2020-04-20,"99,344","2,594,171",
2020-04-19,"105,382","2,356,802",
2020-04-18,"97,236","1,988,205",
2020-04-17,"106,385","2,457,133",
2020-04-16,"95,085","2,616,158",
2020-04-15,"90,784","2,317,381",
2020-04-14,"87,534","2,208,688",
2020-04-13,"102,184","2,484,580",
2020-04-12,"90,510","2,446,801",
2020-04-11,"93,645","2,059,142",
2020-04-10,"108,977","2,590,499",
2020-04-09,"104,090","2,487,398",
2020-04-08,"94,931","2,229,276",
2020-04-07,"97,130","2,091,056",
2020-04-06,"108,310","2,384,091",
2020-04-05,"122,029","2,462,929",
2020-04-04,"118,302","2,011,715",
2020-04-03,"129,763","2,476,884",
2020-04-02,"124,021","2,411,500",
2020-04-01,"136,023","2,151,626",
2020-03-31,"146,348","2,026,256",
2020-03-30,"154,080","2,360,053",
2020-03-29,"180,002","2,510,294",
2020-03-28,"184,027","2,172,920",
2020-03-27,"199,644","2,538,384",
2020-03-26,"203,858","2,487,162",
2020-03-25,"239,234","2,273,811",
2020-03-24,"279,018","2,151,913",
2020-03-23,"331,431","2,434,370",
2020-03-22,"454,516","2,542,643",
2020-03-21,"548,132","2,227,181",
2020-03-20,"593,167","2,559,307",
2020-03-19,"620,883","2,513,231",
2020-03-18,"779,631","2,320,885",
2020-03-17,"953,699","2,177,929",
2020-03-16,"1,257,823","2,465,709",
2020-03-15,"1,519,192","2,545,742",
2020-03-14,"1,485,553","2,274,658",
2020-03-13,"1,714,372","2,634,215",COVID-19 Emergency Declaration
2020-03-12,"1,788,456","2,503,924",
2020-03-11,"1,702,686","2,187,298",
2020-03-10,"1,617,220","2,122,898",
2020-03-09,"1,909,363","2,378,673",
2020-03-08,"2,119,867","2,485,430",
2020-03-07,"1,844,811","2,156,262",
2020-03-06,"2,198,517","2,543,689",
2020-03-05,"2,130,015","2,402,692",
2020-03-04,"1,877,401","2,143,619",
2020-03-03,"1,736,393","1,979,558",
2020-03-02,"2,089,641","2,257,920",
2020-03-01,"2,280,522","2,301,439",