Country,Region,Lat,Long,year,Happiness_Rank,Happiness_Score,Economy_(GDP_per_Capita),Health_(Life_Expectancy),Freedom,Generosity,Trust_(Government_Corruption)
Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,2015,115,4.61,0.271,0.33475,0.25861,0.18987,0.08079
Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,2016,131,4.193,0.35041,0.1595,0.25429,0.18503,0.08582
Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,2017,138,3.875,0.375846535,0.196763754,0.336384207,0.189143494,0.095375381
Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,2018,144,3.692,0.357,0.248,0.406,0.132,0.099
Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,2019,146,3.663,0.366,0.433,0.361,0.151,0.089
Zimbabwe,Sub-Saharan Africa,-19.015438,29.154857,2020,151,3.299200058,0.425564021,0.375037611,0.37740472,0.151349187,0.080928579
Zambia,Sub-Saharan Africa,-13.133897,27.849332,2015,85,5.129,0.47038,0.29924,0.48827,0.19591,0.12468
Zambia,Sub-Saharan Africa,-13.133897,27.849332,2016,106,4.795,0.61202,0.23573,0.42662,0.17866,0.11479
Zambia,Sub-Saharan Africa,-13.133897,27.849332,2017,116,4.513999939,0.636406779,0.257835895,0.461603492,0.249580145,0.07821355
Zambia,Sub-Saharan Africa,-13.133897,27.849332,2018,125,4.377,0.562,0.295,0.503,0.221,0.082
Zambia,Sub-Saharan Africa,-13.133897,27.849332,2019,138,4.107,0.578,0.426,0.431,0.247,0.087
Zambia,Sub-Saharan Africa,-13.133897,27.849332,2020,141,3.759399891,0.536833763,0.36359334,0.49131754,0.250620902,0.086705238
Yemen,Middle East and Northern Africa,15.552727,48.516388,2015,136,4.077,0.54649,0.40064,0.35571,0.09131,0.07854
Yemen,Middle East and Northern Africa,15.552727,48.516388,2016,147,3.724,0.57939,0.31048,0.2287,0.09821,0.05892
Yemen,Middle East and Northern Africa,15.552727,48.516388,2017,146,3.592999935,0.591683447,0.310080916,0.249463722,0.104125209,0.056767423
Yemen,Middle East and Northern Africa,15.552727,48.516388,2018,152,3.355,0.442,0.343,0.244,0.083,0.064
Yemen,Middle East and Northern Africa,15.552727,48.516388,2019,151,3.38,0.287,0.463,0.143,0.108,0.077
Yemen,Middle East and Northern Africa,15.552727,48.516388,2020,146,3.527400017,0.392701775,0.41500017,0.243721485,0.094689012,0.087352127
Vietnam,Southeastern Asia,14.058324,108.277199,2015,75,5.36,0.63216,0.74676,0.59444,0.1686,0.10441
Vietnam,Southeastern Asia,14.058324,108.277199,2016,96,5.061,0.74037,0.66157,0.55954,0.25075,0.11556
Vietnam,Southeastern Asia,14.058324,108.277199,2017,94,5.073999882,0.788547575,0.652168989,0.571055591,0.234968051,0.087633237
Vietnam,Southeastern Asia,14.058324,108.277199,2018,95,5.103,0.715,0.702,0.618,0.177,0.079
Vietnam,Southeastern Asia,14.058324,108.277199,2019,94,5.175,0.741,0.851,0.543,0.147,0.073
Vietnam,Southeastern Asia,14.058324,108.277199,2020,83,5.353499889,0.718092382,0.819133997,0.650835574,0.136488721,0.089848459
Venezuela,Latin America and Caribbean,6.42375,-66.58973,2015,23,6.81,1.04424,0.72052,0.42908,0.05841,0.11069
Venezuela,Latin America and Caribbean,6.42375,-66.58973,2016,44,6.084,1.13367,0.61904,0.19847,0.0425,0.08304
Venezuela,Latin America and Caribbean,6.42375,-66.58973,2017,82,5.25,1.128431201,0.617144227,0.153997123,0.06501963,0.064491123
Venezuela,Latin America and Caribbean,6.42375,-66.58973,2018,102,4.806,0.996,0.657,0.133,0.056,0.052
Venezuela,Latin America and Caribbean,6.42375,-66.58973,2019,108,4.707,0.96,0.805,0.154,0.064,0.047
Venezuela,Latin America and Caribbean,6.42375,-66.58973,2020,99,5.053199768,0.770238638,0.76702553,0.271717221,0.087179154,0.063624777
Uzbekistan,Central and Eastern Europe,41.377491,64.585262,2015,44,6.003,0.63244,0.59772,0.65821,0.22837,0.30826
Uzbekistan,Central and Eastern Europe,41.377491,64.585262,2016,49,5.987,0.73591,0.50163,0.60848,0.34326,0.28333
Uzbekistan,Central and Eastern Europe,41.377491,64.585262,2017,47,5.971000195,0.786441088,0.498272628,0.658248663,0.415983647,0.246528223
Uzbekistan,Central and Eastern Europe,41.377491,64.585262,2018,44,6.096,0.719,0.605,0.724,0.328,0.259
Uzbekistan,Central and Eastern Europe,41.377491,64.585262,2019,41,6.174,0.745,0.756,0.631,0.322,0.24
Uzbekistan,Central and Eastern Europe,41.377491,64.585262,2020,38,6.257599831,0.696652949,0.716703713,0.693270326,0.363311023,0.280260265
Uruguay,Latin America and Caribbean,-32.522779,-55.765835,2015,32,6.485,1.06166,0.8116,0.60362,0.2324,0.24558
Uruguay,Latin America and Caribbean,-32.522779,-55.765835,2016,29,6.545,1.18157,0.72183,0.54388,0.18056,0.21394
Uruguay,Latin America and Caribbean,-32.522779,-55.765835,2017,28,6.453999996,1.217559695,0.719216824,0.579392254,0.175096929,0.178061873
Uruguay,Latin America and Caribbean,-32.522779,-55.765835,2018,31,6.379,1.093,0.771,0.625,0.13,0.155
Uruguay,Latin America and Caribbean,-32.522779,-55.765835,2019,33,6.293,1.124,0.891,0.523,0.127,0.15
Uruguay,Latin America and Caribbean,-32.522779,-55.765835,2020,26,6.440100193,1.071000457,0.856928885,0.59426707,0.132143691,0.193425074
United States,North America,37.09024,-95.712891,2015,15,7.119,1.39451,0.86179,0.54604,0.40105,0.1589
United States,North America,37.09024,-95.712891,2016,13,7.104,1.50796,0.779,0.48163,0.41077,0.14868
United States,North America,37.09024,-95.712891,2017,14,6.993000031,1.546259284,0.774286628,0.505740523,0.392578781,0.135638788
United States,North America,37.09024,-95.712891,2018,18,6.886,1.398,0.819,0.547,0.291,0.133
United States,North America,37.09024,-95.712891,2019,19,6.892,1.433,0.874,0.454,0.28,0.128
United States,North America,37.09024,-95.712891,2020,18,6.939599991,1.37398684,0.831618011,0.534608245,0.298143059,0.152284741
United Kingdom,Western Europe,55.378051,-3.435973,2015,21,6.867,1.26637,0.90943,0.59625,0.51912,0.32067
United Kingdom,Western Europe,55.378051,-3.435973,2016,23,6.725,1.40283,0.80991,0.50036,0.50156,0.27399
United Kingdom,Western Europe,55.378051,-3.435973,2017,19,6.714000225,1.44163394,0.805335939,0.508190036,0.492774159,0.265428066
United Kingdom,Western Europe,55.378051,-3.435973,2018,11,7.19,1.244,0.888,0.464,0.262,0.082
United Kingdom,Western Europe,55.378051,-3.435973,2019,15,7.054,1.333,0.996,0.45,0.348,0.278
United Kingdom,Western Europe,55.378051,-3.435973,2020,13,7.164500237,1.273061037,0.97570008,0.525168657,0.373433441,0.322601646
United Arab Emirates,Middle East and Northern Africa,23.424076,53.847818,2015,20,6.901,1.42727,0.80925,0.64157,0.26428,0.38583
United Arab Emirates,Middle East and Northern Africa,23.424076,53.847818,2016,28,6.573,1.57352,0.72993,0.56215,0.26591,0.35561
United Arab Emirates,Middle East and Northern Africa,23.424076,53.847818,2017,21,6.647999763,1.626343369,0.726798236,0.60834527,0.360941947,0.324489564
United Arab Emirates,Middle East and Northern Africa,23.424076,53.847818,2018,20,6.774,2.096,0.67,0.284,0.186,N/A
United Arab Emirates,Middle East and Northern Africa,23.424076,53.847818,2019,21,6.825,1.503,0.825,0.598,0.262,0.182
United Arab Emirates,Middle East and Northern Africa,23.424076,53.847818,2020,21,6.790800095,1.431086421,0.787814438,0.652936101,0.28065598,0.220213518
Ukraine,Central and Eastern Europe,48.379433,31.16558,2015,111,4.681,0.79907,0.6739,0.25123,0.15275,0.02961
Ukraine,Central and Eastern Europe,48.379433,31.16558,2016,123,4.324,0.87287,0.58628,0.12859,0.20363,0.01829
Ukraine,Central and Eastern Europe,48.379433,31.16558,2017,132,4.096000195,0.894651949,0.575903952,0.122974776,0.270061463,0.023029471
Ukraine,Central and Eastern Europe,48.379433,31.16558,2018,138,4.103,0.793,0.609,0.163,0.187,0.011
Ukraine,Central and Eastern Europe,48.379433,31.16558,2019,133,4.332,0.82,0.739,0.178,0.187,0.01
Ukraine,Central and Eastern Europe,48.379433,31.16558,2020,123,4.56069994,0.780434608,0.698674381,0.319423705,0.178551316,0.00965116
Uganda,Sub-Saharan Africa,1.373333,32.290275,2015,141,3.931,0.21102,0.33861,0.45727,0.29066,0.07267
Uganda,Sub-Saharan Africa,1.373333,32.290275,2016,145,3.739,0.34719,0.19625,0.43653,0.27102,0.06442
Uganda,Sub-Saharan Africa,1.373333,32.290275,2017,133,4.080999851,0.381430715,0.217632607,0.443185955,0.325766057,0.057069719
Uganda,Sub-Saharan Africa,1.373333,32.290275,2018,135,4.161,0.322,0.237,0.45,0.259,0.061
Uganda,Sub-Saharan Africa,1.373333,32.290275,2019,136,4.189,0.332,0.443,0.356,0.252,0.06
Uganda,Sub-Saharan Africa,1.373333,32.290275,2020,126,4.43200016,0.312337428,0.378311664,0.401682556,0.264807373,0.063818842
Turkmenistan,Central and Eastern Europe,38.969719,59.556278,2015,70,5.548,0.95847,0.53886,0.4761,0.16979,0.30844
Turkmenistan,Central and Eastern Europe,38.969719,59.556278,2016,65,5.658,1.08017,0.44006,0.37408,0.22567,0.28467
Turkmenistan,Central and Eastern Europe,38.969719,59.556278,2017,59,5.822000027,1.130776763,0.43772608,0.418271929,0.249924988,0.25927034
Turkmenistan,Central and Eastern Europe,38.969719,59.556278,2018,68,5.636,1.016,0.517,0.417,0.199,0.037
Turkmenistan,Central and Eastern Europe,38.969719,59.556278,2019,87,5.247,1.052,0.657,0.394,0.244,0.028
Turkmenistan,Central and Eastern Europe,38.969719,59.556278,2020,95,5.119100094,1.008963585,0.612448037,0.515236676,0.323129326,0.03350389
Turkey,Middle East and Northern Africa,38.963745,35.243322,2015,76,5.332,1.06098,0.73172,0.22815,0.12253,0.15746
Turkey,Middle East and Northern Africa,38.963745,35.243322,2016,78,5.389,1.16492,0.64718,0.23889,0.04707,0.12348
Turkey,Middle East and Northern Africa,38.963745,35.243322,2017,69,5.5,1.198274374,0.637605608,0.3007406,0.046693042,0.09967158
Turkey,Middle East and Northern Africa,38.963745,35.243322,2018,74,5.483,1.148,0.686,0.324,0.106,0.109
Turkey,Middle East and Northern Africa,38.963745,35.243322,2019,79,5.373,1.183,0.808,0.195,0.083,0.106
Turkey,Middle East and Northern Africa,38.963745,35.243322,2020,93,5.131800175,1.127169251,0.781335294,0.25440076,0.085885569,0.120983243
Tunisia,Middle East and Northern Africa,33.886917,9.537499,2015,107,4.739,0.88113,0.73793,0.26268,0.06431,0.06358
Tunisia,Middle East and Northern Africa,33.886917,9.537499,2016,98,5.045,0.97724,0.59577,0.23553,0.03936,0.0817
Tunisia,Middle East and Northern Africa,33.886917,9.537499,2017,102,4.804999828,1.007265806,0.613212049,0.28968069,0.049693357,0.086723149
Tunisia,Middle East and Northern Africa,33.886917,9.537499,2018,111,4.592,0.9,0.69,0.271,0.04,0.063
Tunisia,Middle East and Northern Africa,33.886917,9.537499,2019,124,4.461,0.921,0.815,0.167,0.059,0.055
Tunisia,Middle East and Northern Africa,33.886917,9.537499,2020,128,4.392199993,0.874742687,0.781156719,0.235860556,0.055881143,0.043899573
Trinidad and Tobago,Latin America and Caribbean,10.691803,-61.222503,2015,41,6.168,1.21183,0.61483,0.55884,0.31844,0.0114
Trinidad and Tobago,Latin America and Caribbean,10.691803,-61.222503,2016,43,6.168,1.32572,0.52608,0.48453,0.31935,0.01241
Trinidad and Tobago,Latin America and Caribbean,10.691803,-61.222503,2017,38,6.168000221,1.361355901,0.519983292,0.518630743,0.325296462,0.008964816
Trinidad and Tobago,Latin America and Caribbean,10.691803,-61.222503,2020,42,6.191899776,1.167641521,0.658828557,0.55293113,0.199358255,0.015078396
Togo,Sub-Saharan Africa,8.619543,0.824782,2015,158,2.839,0.20868,0.28443,0.36453,0.16681,0.10731
Togo,Sub-Saharan Africa,8.619543,0.824782,2016,155,3.303,0.28123,0.24811,0.34678,0.17517,0.11587
Togo,Sub-Saharan Africa,8.619543,0.824782,2017,150,3.494999886,0.305444717,0.247105569,0.380426139,0.196896151,0.095665015
Togo,Sub-Saharan Africa,8.619543,0.824782,2018,139,3.999,0.259,0.253,0.434,0.158,0.101
Togo,Sub-Saharan Africa,8.619543,0.824782,2019,139,4.085,0.275,0.41,0.293,0.177,0.085
Togo,Sub-Saharan Africa,8.619543,0.824782,2020,135,4.187200069,0.268116266,0.342731178,0.303539038,0.200774252,0.114826456
Thailand,Southeastern Asia,15.870032,100.992541,2015,34,6.455,0.9669,0.7385,0.55664,0.5763,0.03187
Thailand,Southeastern Asia,15.870032,100.992541,2016,33,6.474,1.0893,0.64915,0.49553,0.58696,0.02833
Thailand,Southeastern Asia,15.870032,100.992541,2017,32,6.423999786,1.127868772,0.647239029,0.580200732,0.57212311,0.031612735
Thailand,Southeastern Asia,15.870032,100.992541,2018,46,6.072,1.016,0.707,0.637,0.364,0.029
Thailand,Southeastern Asia,15.870032,100.992541,2019,52,6.008,1.05,0.828,0.557,0.359,0.028
Thailand,Southeastern Asia,15.870032,100.992541,2020,54,5.998799801,1.007029295,0.793855846,0.609449804,0.376709014,0.031837862
Tanzania,Sub-Saharan Africa,-6.369028,34.888822,2015,146,3.781,0.2852,0.38215,0.32878,0.34377,0.05747
Tanzania,Sub-Saharan Africa,-6.369028,34.888822,2016,149,3.666,0.47155,0.357,0.3176,0.31472,0.05099
Tanzania,Sub-Saharan Africa,-6.369028,34.888822,2017,153,3.348999977,0.511135876,0.364509284,0.390017778,0.354256362,0.066035107
Tanzania,Sub-Saharan Africa,-6.369028,34.888822,2018,153,3.303,0.455,0.381,0.481,0.27,0.097
Tanzania,Sub-Saharan Africa,-6.369028,34.888822,2019,153,3.231,0.476,0.499,0.417,0.276,0.147
Tanzania,Sub-Saharan Africa,-6.369028,34.888822,2020,148,3.476200104,0.457163125,0.442677855,0.509343088,0.27154091,0.203880861
Tajikistan,Central and Eastern Europe,38.861034,71.276093,2015,106,4.786,0.39047,0.57379,0.47216,0.22974,0.15072
Tajikistan,Central and Eastern Europe,38.861034,71.276093,2016,100,4.996,0.48835,0.53119,0.43408,0.25998,0.13509
Tajikistan,Central and Eastern Europe,38.861034,71.276093,2017,96,5.040999889,0.524713635,0.529235125,0.471566707,0.248997644,0.146377146
Tajikistan,Central and Eastern Europe,38.861034,71.276093,2018,88,5.199,0.474,0.598,0.292,0.187,0.034
Tajikistan,Central and Eastern Europe,38.861034,71.276093,2019,74,5.467,0.493,0.718,0.389,0.23,0.144
Tajikistan,Central and Eastern Europe,38.861034,71.276093,2020,71,5.555699825,0.474874616,0.680594802,0.521141171,0.182417125,0.221779913
Taiwan,Eastern Asia,23.69781,120.960515,2015,38,6.298,1.29098,0.8753,0.3974,0.25376,0.08129
Taiwan,Eastern Asia,23.69781,120.960515,2016,34,6.379,1.39729,0.79565,0.32377,0.25495,0.0663
Taiwan,Eastern Asia,23.69781,120.960515,2018,26,6.441,1.365,0.857,0.418,0.151,0.078
Taiwan,Eastern Asia,23.69781,120.960515,2019,25,6.446,1.368,0.914,0.351,0.242,0.097
Syria,Middle East and Northern Africa,34.802075,38.996815,2015,156,3.006,0.6632,0.72193,0.15684,0.47179,0.18906
Syria,Middle East and Northern Africa,34.802075,38.996815,2016,156,3.069,0.74719,0.62994,0.06912,0.48397,0.17233
Syria,Middle East and Northern Africa,34.802075,38.996815,2017,152,3.461999893,0.777153134,0.500533342,0.081539445,0.493663728,0.151347131
Syria,Middle East and Northern Africa,34.802075,38.996815,2018,150,3.462,0.689,0.539,0.088,0.376,0.144
Syria,Middle East and Northern Africa,34.802075,38.996815,2019,149,3.462,0.619,0.44,0.013,0.331,0.141
Switzerland,Western Europe,46.818188,8.227512,2015,1,7.587,1.39651,0.94143,0.66557,0.29678,0.41978
Switzerland,Western Europe,46.818188,8.227512,2016,2,7.509,1.52733,0.86303,0.58557,0.28083,0.41203
Switzerland,Western Europe,46.818188,8.227512,2017,4,7.493999958,1.564979553,0.858131289,0.620070577,0.290549278,0.367007285
Switzerland,Western Europe,46.818188,8.227512,2018,5,7.487,1.42,0.927,0.66,0.256,0.357
Switzerland,Western Europe,46.818188,8.227512,2019,6,7.48,1.452,1.052,0.572,0.263,0.343
Switzerland,Western Europe,46.818188,8.227512,2020,3,7.559899807,1.39077425,1.040533185,0.62895447,0.269055754,0.407945901
Sweden,Western Europe,60.128161,18.643501,2015,8,7.364,1.33171,0.91087,0.6598,0.36262,0.43844
Sweden,Western Europe,60.128161,18.643501,2016,10,7.291,1.45181,0.83121,0.58218,0.38254,0.40867
Sweden,Western Europe,60.128161,18.643501,2017,9,7.28399992,1.494387269,0.830875158,0.612924099,0.385399252,0.384398729
Sweden,Western Europe,60.128161,18.643501,2018,9,7.314,1.355,0.913,0.659,0.285,0.383
Sweden,Western Europe,60.128161,18.643501,2019,7,7.343,1.387,1.009,0.574,0.267,0.373
Sweden,Western Europe,60.128161,18.643501,2020,7,7.353499889,1.322235227,0.986470461,0.650297701,0.272827893,0.442066371
Swaziland,Sub-Saharan Africa,-26.522503,31.465866,2015,101,4.867,0.71206,0.07566,0.30658,0.18259,0.0306
Swaziland,Sub-Saharan Africa,-26.522503,31.465866,2019,135,4.212,0.811,0,0.313,0.074,0.135
Swaziland,Sub-Saharan Africa,-26.522503,31.465866,2020,132,4.308100224,0.827539742,0.215585828,0.299935788,0.067264833,0.146765873
Suriname,Latin America and Caribbean,3.919305,-56.027783,2015,40,6.269,0.99534,0.6082,0.59657,0.16991,0.13633
Suriname,Latin America and Caribbean,3.919305,-56.027783,2016,40,6.269,1.09686,0.50933,0.52234,0.16665,0.12692
Sudan,Sub-Saharan Africa,12.862807,30.217636,2015,118,4.55,0.52107,0.36878,0.10081,0.19062,0.1466
Sudan,Sub-Saharan Africa,12.862807,30.217636,2016,133,4.139,0.63069,0.29759,0,0.18077,0.10039
Sudan,Sub-Saharan Africa,12.862807,30.217636,2017,130,4.138999939,0.659516692,0.290920824,0.014995855,0.182317451,0.08984752
Sudan,Sub-Saharan Africa,12.862807,30.217636,2018,137,4.139,0.605,0.312,0.016,0.134,0.082
Sri Lanka,Southern Asia,7.873054,80.771797,2015,132,4.271,0.83524,0.70806,0.53726,0.40828,0.09179
Sri Lanka,Southern Asia,7.873054,80.771797,2016,117,4.415,0.97318,0.62007,0.50817,0.46978,0.07964
Sri Lanka,Southern Asia,7.873054,80.771797,2017,120,4.440000057,1.009850144,0.625130832,0.561213255,0.490863562,0.073653966
Sri Lanka,Southern Asia,7.873054,80.771797,2018,116,4.471,0.918,0.672,0.585,0.307,0.05
Sri Lanka,Southern Asia,7.873054,80.771797,2019,130,4.366,0.949,0.831,0.47,0.244,0.047
Sri Lanka,Southern Asia,7.873054,80.771797,2020,130,4.327000141,0.897986948,0.792036712,0.528632462,0.252666146,0.049444564
Spain,Western Europe,40.463667,-3.74922,2015,36,6.329,1.23011,0.95562,0.45951,0.18227,0.06398
Spain,Western Europe,40.463667,-3.74922,2016,37,6.361,1.34253,0.87896,0.37545,0.17665,0.06137
Spain,Western Europe,40.463667,-3.74922,2017,34,6.402999878,1.384397864,0.8889606,0.40878123,0.190133572,0.070914097
Spain,Western Europe,40.463667,-3.74922,2018,36,6.31,1.251,0.965,0.449,0.142,0.074
Spain,Western Europe,40.463667,-3.74922,2019,30,6.354,1.286,1.062,0.362,0.153,0.079
Spain,Western Europe,40.463667,-3.74922,2020,28,6.400899887,1.230535269,1.051343083,0.425983816,0.16530548,0.109579779
South Korea,Eastern Asia,35.907757,127.766922,2015,47,5.984,1.24461,0.96538,0.33208,0.18557,0.07857
South Korea,Eastern Asia,35.907757,127.766922,2016,57,5.835,1.35948,0.88645,0.25168,0.18824,0.07716
South Korea,Eastern Asia,35.907757,127.766922,2017,55,5.837999821,1.401678443,0.900214076,0.257921666,0.206674367,0.063282669
South Korea,Eastern Asia,35.907757,127.766922,2018,57,5.875,1.266,0.955,0.244,0.175,0.051
South Korea,Eastern Asia,35.907757,127.766922,2019,54,5.895,1.301,1.036,0.159,0.175,0.056
South Korea,Eastern Asia,35.907757,127.766922,2020,61,5.872399807,1.245300651,1.022542596,0.25935635,0.170303866,0.094596282
South Africa,Sub-Saharan Africa,-30.559482,22.937506,2015,113,4.642,0.92049,0.27688,0.33207,0.11973,0.08884
South Africa,Sub-Saharan Africa,-30.559482,22.937506,2016,116,4.459,1.02416,0.18611,0.42483,0.13656,0.08415
South Africa,Sub-Saharan Africa,-30.559482,22.937506,2017,101,4.828999996,1.054698706,0.18708007,0.479246736,0.13936238,0.072509497
South Africa,Sub-Saharan Africa,-30.559482,22.937506,2018,105,4.724,0.94,0.33,0.516,0.103,0.056
South Africa,Sub-Saharan Africa,-30.559482,22.937506,2019,106,4.722,0.96,0.469,0.389,0.13,0.055
South Africa,Sub-Saharan Africa,-30.559482,22.937506,2020,109,4.814099789,0.902140439,0.407034069,0.43478182,0.126406848,0.05950214
Somalia,Sub-Saharan Africa,5.152149,46.199616,2016,76,5.44,0,0.11466,0.56778,0.27225,0.3118
Somalia,Sub-Saharan Africa,5.152149,46.199616,2017,93,5.151000023,0.022643184,0.113989137,0.602126956,0.291631311,0.282410324
Somalia,Sub-Saharan Africa,5.152149,46.199616,2018,98,4.982,0,0.115,0.674,0.238,0.282
Somalia,Sub-Saharan Africa,5.152149,46.199616,2019,112,4.668,0,0.268,0.559,0.243,0.27
