Year,Movie,Bond,Director,Composer,Writer,Cinematographer,Film_Length,Avg_User_IMDB,Avg_User_Rtn_Tom,Top_100,Video_Game,Indroduction,M_picture,,Source,17cast,18Producer,19music,20Trivia,21picture额外1,22picture额外2,23picture额外3,24trivia额外1,25trivia额外2,26trivia额外3,27trivia额外4,28TRAILER,MovieandYear,30额外picture
1962,Dr. No,Sean Connery,Terence Young,Monty Norman,"Richard Maibaum, Johanna Harwood & Berkely Mather",Ted Moore,110,7.3,7.7,0,0,"Arriving in Jamaica to investigate the suspected murder of a fellow agent and his secretary, James Bond eludes several attempts on his life. With the help of CIA agent Felix Leiter and local fisherman Quarrel, Bond follows the sinister trail of Dr. No to his island Crab Key. Shortly after landing on the beach with Quarrel, Bond encounters alluring shell collector Honey Ryder. The three uninvited visitors are hunted down by Dr. No’s private army, who kill Quarrel and take Bond and Honey to Dr. No’s magnificent lair. Their megalomaniac host, Dr. No tells Bond that by utilising the nuclear laboratory on site, he plans to destroy the US Space program as his first move towards world domination. Bond outwits Dr. No who falls victim to his own scheme and dies. Rescuing Honey Ryder, Bond commandeers a motorboat and together they escape from Crab Key, seconds before it explodes, leaving the final devastation of Dr. No’s laboratory behind.",https://www.007.com/wp-content/uploads/2020/08/DRNO-1.jpg,,https://www.007.com/the-films/dr-no/,"Sean Connery, Ursula Andress, Joseph Wiseman, Bernard Lee, Jack Lord, Anthony Dawson, Lois Maxwell, John Kitzmiller, Zena Marshall, Eunice Gayson, Peter Burton, Yvonne Shima, Michel Mok, Marguerite LeWars","Harry Saltzman, Albert R. Broccoli","“James Bond Theme” – written by Monty Norman, played and arranged by the John Barry Orchestra",Vodka Martini is Bond’s first cinematic drink in Dr. No,https://www.007.com/wp-content/uploads/2021/01/drno5.jpg,https://www.007.com/wp-content/uploads/2021/01/drno7.jpg,https://www.007.com/wp-content/uploads/2021/01/drno1.jpg,We get a rare glimpse of the interior of Bond’s London townhouse. The only other films that show Bond’s living space are Live And Let Die and Spectre,The only Bond film not to have a pre-title sequence,Norman Wanstall created the muffled sound for the silenced gun that Bond uses which is not like the real sound of a silenced gun. His cinematic sound has been copied so often many people believe this is what a silenced gun really sounds like,Production Designer Ken Adam incorporated many moving parts on his sets. In the decontamination scene Bond and Honey are transported through showers on a ‘moving walkway’ now known as travelators,https://www.youtube.com/embed/Wcv8-HoCroU,Dr. No (1962),https://www.007.com/wp-content/uploads/2021/01/drno2-1024x756.jpg
1963,From Russia with Love,Sean Connery,Terence Young,John Barry,Richard Maibaum & Johanna Harwood,Ted Moore,115,7.5,8,0,1,"James Bond is assigned by his superior M to help a young Russian girl Tatiana Romanova, who has declared her desire to defect from her job as a clerk in the Russian embassy in Istanbul with an invaluable Lektor cipher machine. Believing herself a willing tool of her government, Tatiana is actually the pawn of SPECTRE, a group of international criminals who plan to use the beautiful Russian girl to lure Bond to his death and to confound both the British and Russian Secret Service agencies.
In the intriguing atmosphere of Istanbul, Bond is aided by Kerim Bey, the Turkish agent for the British Secret Service, whom Bond comes to respect and admire. After eluding several death traps in Istanbul, Bond and Tatiana escape aboard the Orient Express. SPECTRE has assigned their cold-blooded killer, Grant to kill and discredit the famed British agent, in hand-to-hand combat Bond triumphs over Grant in the close quarters of his train compartment, but the attempts on his life are by no means over. He later fights an unequal battle against a SPECTRE helicopter and makes a desperate dash across the Gulf of Venice in a speedboat chased by a horde of enemy agents. In Venice, he faces the final attempt on his life when Rosa Klebb, the master planner of the SPECTRE murder organisation, makes a personal bid to kill him.",https://www.007.com/wp-content/uploads/2020/08/FRWL-1.jpg,,https://www.007.com/the-films/from-russia-with-love/,"Sean Connery, Daniela Bianchi, Pedro Armendáriz, Lotte Lenya, Robert Shaw, Bernard Lee, Eunice Gayson, Walter Gotell, Francis De Wolff, Lois Maxwell, Aliza Gur, Martine Beswicke, Vladek Shyebal, Anthony Dawson, Desmond Llewelyn, Leila","Harry Saltzman, Albert R. Broccoli","“From Russia With Love” – performed by Matt Munro, written by Lionel Bart",Director Terence Young’s wife makes a cameo as the lady who appears on a bridge in Venice filming Bond and Tatiana as they pass beneath in a water taxi,https://www.007.com/wp-content/uploads/2021/01/frwl6-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/frwl3-1024x756.jpg,https://www.007.com/wp-content/uploads/2017/04/rosa007_WEBSITE_IMAGE_SIZE_LANDSCAPE-Recovered-1024x756.jpg,Location Manager Bill Hill was pressed into making his screen debut in Turkey when the actor chosen to play the ill-fated MI6 agent Captain Nash proved unavailable at the last minute. Hill suddenly found himself in Nash’s clothes for his tragic encounter with Red Grant,Fleming’s novel From Russia With Love was considered a personal favourite of President John F. Kennedy,Filming on location in Istanbul attracted such huge crowds of onlookers Director Terence Young decided to create a diversion for the scene where Bond runs to the station. Just before shooting the scene Young signalled with his handkerchief for a stunt man to appear on a 3rd floor balcony opposite shouting and teetering precariously – the crowd shifted their attention to him leaving Bond to run free to the station,Mrs. Harry Saltzman and her mother are seen looking out of the train window when it pulls into Zagreb and Bond stops to look out the window between them,https://www.youtube.com/embed/t9AeIdMQqR8,From Russia with Love (1963),https://www.007.com/wp-content/uploads/2020/06/007_WEBSITE_IMAGE_SIZE_LANDSCAPE_FRWL12-1024x756.png
1964,Goldfinger,Sean Connery,Guy Hamilton,John Barry,Richard Maibaum & Paul Dehn,Ted Moore,110,7.8,8.4,1,1,"James Bond is assigned to investigate one of the wealthiest men in the world, Auric Goldfinger, who is suspected of smuggling England’s gold reserves. Goldfinger’s greed is exceeded only by his disrespect for human life. When his secretary Jill sleeps with Bond, after Bond catches him cheating at cards, Goldfinger has her killed by smothering her with gold paint. The dead girl’s sister is also killed, when she follows Goldfinger to Switzerland and attempts revenge. Bond is captured by Goldfinger’s huge manservant Oddjob, and almost killed by a deadly laser beam. Drugged, he finds himself on Goldfinger’s private jet being flown to America by Pussy Galore. Bond wins overs Pussy and she helps thwart Goldfinger’s plot to rob Fort Knox.",https://www.007.com/wp-content/uploads/2020/08/GF-1.jpg,,https://www.007.com/the-films/goldfinger/,"Sean Connery, Honor Blackman, Gert Fröbe, Shirley Eaton, Tania Mallet, Harold Sakata, Bernard Lee, Martin Benson, Cec Linder, Lois Maxwell, Desmond Llewelyn","Harry Saltzman, Albert R. Broccoli","“Goldfinger” – performed by Shirley Bassey, music composed and arranged by John Barry, song lyrics by Leslie Bricusse and Anthony Newley","Aston Martin loaned the filmmakers the first ever development prototype of the DB5, which they subsequently cut out part of the roof to make the famous ejector seat stunt work",https://www.007.com/wp-content/uploads/2020/10/LS-Recovered-1-1024x756.jpg,https://www.007.com/wp-content/uploads/2020/10/LS-Recovered_0003_083A_JAMES_BOND_ARCHIVES_XL_00399-Gallery-1024x756.jpg,https://www.007.com/wp-content/uploads/2018/06/oddjob007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.png,The DB5’s revolving numberplate was an idea of director Guy Hamilton after he received multiple parking tickets in London,"Hamilton was told by Gert Fröbe’s agent that he could speak perfect English. On his first day of filming it became apparent that he could not, and so actor Michael Collins was brought in during post-production to dub over Fröbe","The inside of Fort Knox had rarely been seen, and so it was initially decided the film’s fight would take place outside the building. Cubby Broccoli insisted the film enter the building, and said he wanted the interior to resemble a ‘cathedral of gold’","Three weeks prior to release, a crew of three, including Guy Hamilton and Cubby Broccoli, travelled to Fort Knox to film some last-minute shots, including one of a squad of soldiers falling dead",https://www.youtube.com/embed/0jDWvEu2rSE,Goldfinger (1964),https://www.007.com/wp-content/uploads/2021/01/fing-1024x756.jpg
1965,Thunderball,Sean Connery,Terence Young,John Barry,Richard Maibaum & John Hopkins,Ted Moore,130,7,6.8,1,0,"SPECTRE steals a Vulcan bomber carrying two nuclear warheads and holds NATO to ransom to the sum of £100 million. In a race against time, Bond discovers the only lead – a photo of NATO pilot Major Derval with his sister, Domino – and is assigned to Nassau to investigate. Once he contacts Domino, and sees her connection to Emilio Largo, Bond and his team hunt for the bombs on board Largo’s yacht, the Disco Volante, and at his villa, Palmyra, but without success. After dispatching SPECTRE agent Fiona Volpe, Bond enlists the help of Domino by showing her proof that Largo killed her brother. As the Disco Volante sails for Miami with the bombs aboard, Domino is discovered spying and is tortured by Largo. Bond takes part in the thrilling underwater fight between SPECTRE and US aqua-paratroopers, before tackling Largo on board the Disco Volante. As Largo is about to shoot Bond, Domino harpoons him, gaining revenge for the murder of her brother.",https://www.007.com/wp-content/uploads/2020/08/TB-1.jpg,,https://www.007.com/the-films/thunderball/,"Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi, Rik Van Nutter, Guy Doleman, Molly Peters, Martine Beswick, Bernard Lee, Desmond Llewelyn, Lois Maxwell",Kevin McClory,"“Thunderball” – performed by Tom Jones, lyrics by Don Black, arranged by John Barry","Special effect supervisor John Stears won the Oscar for visual effects for his remarkable achievements. Incredibly, he did not even realise he had been nominated until his Oscar was delivered to him",https://www.007.com/wp-content/uploads/2018/06/thunderball007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.png,https://www.007.com/wp-content/uploads/2021/01/jetpack1-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/thunder1-1024x756.jpg,25% of the screen time takes place underwater,"There were only two men in the world qualified to operate Bond’s famous rocket pack, which was developed by the army for battle use. These two men were brought to France to film the sequence","Ken Adam designed a corridor in the pool, made of perspex glass, so that Sean Connery could get close to the sharks.",Corgi produced their first James Bond Aston Martin DB5 which became the best-selling toy of the year in the UK,https://www.youtube.com/embed/7JowkFmI1Fo,Thunderball (1965),https://www.007.com/wp-content/uploads/2019/07/007_Thunderball_LANDSCAPE-1024x756.png
1967,You Only Live Twice,Sean Connery,Lewis Gilbert,John Barry,Roald Dahl,Freddie Young,117,6.9,6.3,1,0,"James Bond is assassinated by Chinese agents in Hong Kong, but it is a ruse so that Bond can travel incognito to Japan and investigate the hijacking of American and Russian spacecraft. Together with Tiger Tanaka and Aki of the Japanese Secret Service, Bond traces a supply of liquid oxygen, which is use to fuel rockets, to a southern Japanese island. So that Bond can live on the island without arousing suspicion, he becomes Japanese in appearance, trains with Tanaka’s ninjas, and marries Kissy Suzuki. Bond and Kissy look into the mysterious death of a fishing girl, and discover that SPECTRE, commanded by Ernst Stavro Blofeld, have a secret rocket complex hidden inside a volcano. Bond, Tanaka, Kissy and the ninjas attack the base, and stop Blofeld from detonating a nuclear war between Russia and America, but Blofeld escapes, leaving the base to self-destruct.",https://www.007.com/wp-content/uploads/2020/08/YOLT-2.jpg,,https://www.007.com/the-films/you-only-live-twice/,"Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsuro Tamba, Teru Shimada, Karin Dor, Donald Pleasence, Bernard Lee, Desmond Llewelyn, Lois Maxwell, Charles Gray","Harry Saltzman, Albert R. Broccoli","“You Only Live Twice” – performed by Nancy Sinatra, lyrics by Leslie Bricusse, music composed and conducted by John Barry",Stunt performer Vic Armstrong was the first ninja down the ropes inside the volcano set – his first Bond film for the future 2nd Unit Director,https://www.007.com/wp-content/uploads/2021/01/yolt2-1024x756.jpg,https://www.007.com/wp-content/uploads/2017/06/22007_WEBSITE_IMAGE_SIZE_LANDSCAPE-Recovered-1024x756.png,https://www.007.com/wp-content/uploads/2021/01/yolt3-1024x756.jpg,It was Producer Cubby Broccoli’s wife Dana who came up with the idea to dispatch the baddies car with a giant magnet and dump them in the middle of Tokyo Bay,"Sean Connery’s wife, Diane Cilento doubled for Mie Hama in the diving/swimming scenes because the Japanese actress was not a confident swimmer",Wing Commander Wallis made 85 take-off and landings (46 hours in the air) in his autogyro on location to get seven and a half minutes of screen time,"The sumo wrestlers would not ‘fake’ a match and therefore this scene was shot with a real match taking place and a crowd of 8,000",https://www.youtube.com/embed/-gGiYrS2Y1k,You Only Live Twice (1967),https://www.007.com/wp-content/uploads/2021/01/yolt7-1024x756.jpg
1969,On Her Majesty's Secret Service,George Lazenby,Peter R. Hunt,John Barry,Richard Maibaum,Michael Reed,142,6.8,6.7,0,0,"While James Bond is hunting Ernst Stavro Blofeld, head of SPECTRE, at a beach he saves Tracy from committing suicide by drowning. Afterwards Bond and Tracy begin a relationship that gives her a reason to live. With the help of Tracy’s father, Draco, head of the Unione Corse crime syndicate, Bond tracks down Blofeld to Piz Gloria, on a mountaintop in the Alps. Here he finds that Blofeld is brainwashing a group of women to act as his secret agents of biological warfare so that he can blackmail world powers. Bond infiltrates Piz Gloria disguised as Sir Hilary Bray of the College of Arms. When his real identity is discovered, Bond escapes and reunites with Tracy, but she is captured by Blofeld after being caught in an avalanche. The world powers refuse to attack Blofeld, so Draco leads the Unione Corse’s attack on Piz Gloria and rescues Tracy. During the siege, Bond fights Blofeld on a bob-sleigh run and believes Blofeld to be dead. Afterwards, Tracy and Bond marry, but Blofeld exacts his revenge when Tracy is killed in a hail of bullets intended for Bond.",https://www.007.com/wp-content/uploads/2020/08/OHMSS-1.jpg,,https://www.007.com/the-films/on-her-majestys-secret-service/,"George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti, Ilse Steppat, Angela Scoular, Lois Maxwell, Catherina Von Schell, George Baker, Bernard Lee, Bernard Horsfall, Desmond Llewelyn, Yuri Borienko","Harry Saltzman, Albert R. Broccoli","“On Her Majesty’s Secret Service” – composed, conducted and arranged by John Barry, 
“We Have All The Time In The World” – performed by Louis Armstrong, written by Hal David",Switzerland had the mildest winter for 40 years when the production arrived to film the ski sequences,https://www.007.com/wp-content/uploads/2016/09/007_Lazenby_LANDSCAPE-1024x756.jpg,https://www.007.com/wp-content/uploads/2020/04/landscape3_007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1-1024x756.png,https://www.007.com/wp-content/uploads/2020/05/007_On-Her-Majestys-Secret-Service-Ice-Rally_LANDSCAPE-1024x756.png,"The storyline required a heliport adjoining Blofeld’s mountain-top fortress. So at a cost of £60,000, the production hauled more than 500 tons of cement and equipment to the peak by helicopter and cable car – and built one. That also covered the cost of installing a 2,000 amp generator to power the camera crew’s lights","120 crew members had to travel everyday via cable car – 3,000 meters, a 20 minute journey",Richard Graydon decided to use local expert skiers not stuntmen for Blofeld’s ski chase scene,"For the key sequence at a skating rink, the production team flooded a car park in Grindelwald every night until the ice that formed was thick enough to withstand the wear and tear of over 100 skaters. The same technique was employed for the stock car chase on ice utilising a large open field between Stechelberg and Lauterbrunnen",https://www.youtube.com/embed/dOLq5Rg9N-c?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,On Her Majesty's Secret Service (1969),https://www.007.com/wp-content/uploads/2021/01/ohmss1-1024x756.jpg
1971,Diamonds Are Forever,Sean Connery,Guy Hamilton,John Barry,Richard Maibaum & Tom Mankiewicz,Ted Moore,120,6.7,6.3,1,0,"MI6 assign Bond to investigate who is hoarding the world’s supply of diamonds. The case leads Bond to Amsterdam, where he poses as criminal Peter Franks and meets Tiffany Case, a glamorous gemstone smuggler. Bond and Tiffany smuggle the diamonds to Las Vegas, where Bond suspects that reclusive industrialist Willard Whyte is behind the conspiracy. Bond infiltrates Whyte’s desert laboratory and finds that the diamonds are being used as part of a laser beam satellite. Back in Vegas, Bond sneaks into Whyte’s penthouse, where he comes face-to-face with his arch-nemesis Blofeld, who has kidnapped Whyte and is impersonating him. Blofeld plans to hold the world hostage for ransom with the deadly satellite. After being left for dead by assassins Mr Kidd and Mr Wint, Bond and Tiffany follow Blofeld to his oil-rig base. As CIA helicopter gunships attack, Bond disarms the satellite and prevents Blofeld’s escape. On the sea voyage back to London, Bond disposes of Kidd and Wint as they try to assassinate him.",https://www.007.com/wp-content/uploads/2020/08/DAF-2.jpg,,https://www.007.com/the-films/diamonds-are-forever/,"Sean Connery, Jill St. John, Charles Gray, Lana Wood, Jimmy Dean, Bruce Cabot, Putter Smith, Bruce Glover, Norman Burton, Bernard Lee, Desmond Llewelyn, Lois Maxwell","Harry Saltzman, Albert R. Broccoli","“Diamonds Are Forever” – performed by Shirley Bassey, lyrics by Don Black, composed and arranged by John Barry",The original script featured Goldfinger’s twin brother as the villain,https://www.007.com/wp-content/uploads/2021/01/dia1-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/daf3-1024x756.jpg,https://www.007.com/wp-content/uploads/2021/01/daf4-1024x756.jpg,The idea for the film came to Cubby Broccoli in a dream,The South Africa scenes were actually shot in the desert outside Las Vegas,The crew shut down the Las Vegas strip for five nights to film the iconic car chase,"During re-shoots, the crew accidentally filmed the car on the wrong two wheels, resulting in a last-minute addition of an interior shot of the car switching wheels",https://www.youtube.com/embed/9yOamj4mlnE?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,Diamonds Are Forever (1971),https://www.007.com/wp-content/uploads/2019/05/lady007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.png
1973,Live and Let Die,Roger Moore,Guy Hamilton,George Martin,Tom Mankiewicz,Ted Moore,121,6.8,5.9,1,1,"While investigating the deaths of three British agents, James Bond falls foul of gangster Mr. Big, who seems to have connections to Dr. Kananga, the president of San Monique. Bond follows leads to New Orleans, then to San Monique, where he is aided by double agent Rosie Carver. After freeing Kananga’s girlfriend, Solitaire, a seer who foretells the future with Tarot cards, Bond discovers that Kananga and Mr. Big are one and the same. Via his chain of Fillet of Soul restaurants, Kananga plans to flood the USA with two tons of free heroin, which will put his competitors out of business and allow him to monopolise the drug’s supply. When Solitaire is recaptured by Kananga, Bond, with help from CIA agent Felix Leiter and Quarrel Jr, returns to San Monique to kill Kananga and save Solitaire, before she is ritually sacrificed by Baron Samedi, the voodoo chief.",https://www.007.com/wp-content/uploads/2020/08/LALD-1.jpg,,https://www.007.com/the-films/live-and-let-die/,"Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James, Julius W. Harris, Geoffrey Holder, David Hedison, Gloria Hendry, Bernard Lee, Lois Maxwell, Tommy Lane, Earl Jolly Brown, Roy Stewart, Lon Statton","Harry Saltzman, Albert R. Broccoli",“Live And Let Die” – performed and written by Paul McCartney & Wings,This is only the second time we see the interior of Bond’s townhouse since we saw a glimpse in Dr. No 11 years before,https://www.007.com/wp-content/uploads/2017/01/soliter007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.jpg,https://www.007.com/wp-content/uploads/2019/05/chair007_WEBSITE_IMAGE_SIZE_LANDSCAPE-1024x756.png,https://www.007.com/wp-content/uploads/2021/01/live1-1024x756.jpg,Many of the cast received tarot card readings on set,"The driver of the London bus was an instructor for the London Passenger Transport Board. Jane Seymour was actually in the back of the bus for filming the stunt, not a body double","It took stuntman Ross Kananga five attempts to execute the famous crocodile stunt, where Bond jumps across three crocodiles to cross the water",It was Moore’s idea for Bond to wear the crocodile loafers in the scene with the crocodiles,https://www.youtube.com/embed/KTzsm9-XWQo?list=TLPQMjEwNzIwMjFHoX7lazQ7oA,Live and Let Die (1973),https://www.007.com/wp-content/uploads/2021/01/lald2-1024x756.jpg
